epoch,train_mse,val_mse,sparsity_l1,tv_loss
1,0.04054232231444783,0.029557369494189818,0.0,0.0
2,0.023771976658867464,0.029573140665888786,0.0,0.0
3,0.02156664294501146,0.024920038762502372,0.0,0.0
4,0.02122432326691018,0.026459586728985112,0.0,0.0
5,0.01850725238521894,0.024822006622950237,0.0,0.0
6,0.016834730820523367,0.023741544495957594,0.0,0.0
7,0.015262231448044379,0.024158333738644917,0.0,0.0
8,0.014786234611852302,0.023447333912675578,0.0,0.0
9,0.01453350896222724,0.023139915739496548,0.0,0.0
10,0.01340569561968247,0.029598526811848085,0.0,0.0
11,0.013265382736507389,0.024204178402821224,0.0,0.0
12,0.013544997407330407,0.029100724806388218,0.0,0.0
13,0.012909123063501384,0.03169519531851014,0.0,0.0
14,0.011215448446778787,0.026296679318572085,0.0,0.0
15,0.008449710191537936,0.025372538870821398,0.0,0.0
16,0.008302139304578304,0.0253198870147268,0.0,0.0
17,0.006459527664507429,0.0240003513948371,0.0,0.0
18,0.006863496048996846,0.024189990557109315,0.0,0.0
19,0.00606347068419887,0.0246130481051902,0.0,0.0
20,0.00573715579489039,0.023805705054352682,0.0,0.0
