epoch,train_mse,val_mse,sparsity_l1,tv_loss
1,0.1358246371977859,0.09893740030626456,0.0,0.0
2,0.03597566713061598,0.030079385576148827,0.0,0.0
3,0.02942732661548588,0.03660767696176966,0.0,0.0
4,0.03039479297068384,0.030446182781209547,0.0,0.0
5,0.022578370653920703,0.03319491360646983,0.0,0.0
6,0.020438572205603123,0.030108226075147588,0.0,0.0
7,0.016797175341182285,0.024385641561821103,0.0,0.0
8,0.015695310125334396,0.02318819984793663,0.0,0.0
9,0.015546027808967564,0.023843152758975823,0.0,0.0
10,0.0144000637345016,0.023968026973307133,0.0,0.0
11,0.014103789379199346,0.022974266321398318,0.0,0.0
12,0.012665389871431721,0.0243252490957578,0.0,0.0
13,0.012319511050979297,0.02494208576778571,0.0,0.0
14,0.01196218767306871,0.024293772022550304,0.0,0.0
15,0.011702654738393095,0.027537370488668483,0.0,0.0
16,0.009489360969099733,0.022444094143187005,0.0,0.0
17,0.009028583785725965,0.021498574875295162,0.0,0.0
18,0.008139779811931981,0.02223159760857622,0.0,0.0
19,0.007824383681226108,0.025107240692401927,0.0,0.0
20,0.007730390783399344,0.022364874215175707,0.0,0.0
