epoch,train_mse,val_mse,sparsity_l1,tv_loss
1,0.15293807105885612,0.09305823501199484,0.37903309795591567,0.28317673371897806
2,0.0431039678139819,0.04671717373033365,0.2886245118247138,0.2799103789859348
3,0.031221930061777432,0.04670473219205936,0.2550625373919805,0.2506730493572023
4,0.02806183437092437,0.02644720789976418,0.22948956423335606,0.22797483404477437
5,0.028107360936701298,0.030874854574600857,0.2074349304040273,0.20470072428385416
6,0.021494132859839334,0.04558729069928328,0.1831954773929384,0.1793697287638982
7,0.02012870880878634,0.03285528098543485,0.15073697997464075,0.14492963386906518
8,0.019249160049690142,0.03194609680213034,0.1295163051949607,0.12432103090816074
9,0.01685161219081945,0.023481319037576515,0.11624642494652006,0.1111370176076889
10,0.012296624864555067,0.021068720884310704,0.10838905490107006,0.10279338128036923
11,0.012826542825334603,0.024847245076671243,0.10164763215515349,0.09607012222210566
12,0.012487966298229165,0.023165253379071753,0.0957963979906506,0.08987031744586096
13,0.012279058216760556,0.02355820289812982,0.09023434403869841,0.0840828248196178
14,0.012229300962968006,0.024129750051846106,0.08588317732016246,0.07931855469942092
15,0.009584621070987648,0.022445016462976735,0.08260833885934618,0.07544987383815978
16,0.008956916428481539,0.020638681521328788,0.08021500143739912,0.07276465346415838
17,0.00863945631103383,0.0214700303816547,0.07821052256557677,0.07031933334138658
18,0.008451982603097956,0.021164687039951485,0.07629394117328855,0.06802995817528831
19,0.00785213775622348,0.02023695611084501,0.07366998907592562,0.06511587964163887
20,0.007383595919236541,0.022899130126461387,0.0719722784227795,0.06300810484422578
