epoch,train_mse,val_mse,sparsity_l1,tv_loss
1,0.06781303452120888,0.044168825183684625,0.0,0.0
2,0.05026439962287744,0.031159930959499132,0.0,0.0
3,0.037240938883688714,0.030289717251434922,0.0,0.0
4,0.03332467534475857,0.03026685242851575,0.0,0.0
5,0.03105404149327013,0.027879488848460216,0.0,0.0
6,0.029167734355562264,0.027661762510736782,0.0,0.0
7,0.025779122445318433,0.026183562430863578,0.0,0.0
8,0.023913938438312875,0.026610159470389288,0.0,0.0
9,0.02216292768716812,0.024301259856050212,0.0,0.0
10,0.02294730111542675,0.023646860849112272,0.0,0.0
11,0.021423596288594936,0.02339980029501021,0.0,0.0
12,0.021262733607242505,0.023202526771153014,0.0,0.0
13,0.02054944708943367,0.02495863560276727,0.0,0.0
14,0.022002747799787257,0.023484959344690044,0.0,0.0
15,0.020723817414707607,0.0232111313380301,0.0,0.0
16,0.021033221690191162,0.02232881720798711,0.0,0.0
17,0.020962135949068598,0.022983657972266276,0.0,0.0
18,0.020219425732890765,0.023256235600759585,0.0,0.0
19,0.020101486456890902,0.023700688655177753,0.0,0.0
20,0.020534140492479005,0.023591221465418737,0.0,0.0
