epoch,train_mse,val_mse,sparsity_l1,tv_loss
1,0.06541543089681201,0.03634285076986998,0.0,0.0
2,0.04056967604491446,0.039090647672613464,0.0,0.0
3,0.034013334247801036,0.029704037704505026,0.0,0.0
4,0.030240420210692617,0.029986165250496317,0.0,0.0
5,0.02966392799797985,0.027091233564230304,0.0,0.0
6,0.02575532380077574,0.026613069116137922,0.0,0.0
7,0.024139608297910956,0.025356218102388084,0.0,0.0
8,0.023651269719832474,0.025083379276717704,0.0,0.0
9,0.022978539889057476,0.024878428239996236,0.0,0.0
10,0.02197054490033123,0.0269681663873295,0.0,0.0
11,0.021763039318223796,0.024848807835951447,0.0,0.0
12,0.022809605196946196,0.023100855760276318,0.0,0.0
13,0.02095954447156853,0.023857054533436894,0.0,0.0
14,0.021472941318319904,0.025372159900143743,0.0,0.0
15,0.020794608257710935,0.0237005779830118,0.0,0.0
16,0.019891352723870014,0.02272207522764802,0.0,0.0
17,0.020280761540763907,0.023563207903256018,0.0,0.0
18,0.02068081729941898,0.023511397031446297,0.0,0.0
19,0.02037603391541375,0.02430064044892788,0.0,0.0
20,0.01952680110310515,0.024095423907662433,0.0,0.0
