epoch,train_mse,val_mse,sparsity_l1,tv_loss
1,0.12146442880233128,0.0562708688278993,0.35506981743706595,0.26281750400861104
2,0.04271788274248441,0.07894011897345383,0.2795248869392607,0.2710546486907535
3,0.03446348150157266,0.033212765119969845,0.22161878281169467,0.22567055457168156
4,0.028177490499284533,0.031772616474578776,0.19541346000300513,0.20425961348745558
5,0.026148827084236676,0.031218437982412677,0.17392700248294407,0.18418671985467275
6,0.02190585873193211,0.033069264298925795,0.14994333022170597,0.15767122473981646
7,0.019993306034141116,0.03802528822173675,0.12267932792504628,0.12314571920368407
8,0.01986576376689805,0.032635427390535675,0.10264610764053132,0.098960775633653
9,0.017528868031998476,0.027616491230825584,0.08670504540205001,0.08009214401245117
10,0.017710723562373056,0.025567163170004886,0.07445295287503137,0.0654690355890327
11,0.017504407403369743,0.026311870974798996,0.06529015294379659,0.05646494916743702
12,0.016862411103728745,0.024664386951675017,0.05792312067415979,0.04890830740332604
13,0.014041722276144558,0.027257976044590276,0.05185763421985838,0.0434186055428452
14,0.01382123137720757,0.0273285786776493,0.04723229482769966,0.038533187657594684
15,0.012757720756861898,0.026318893302232027,0.0427634344332748,0.03433263873060544
16,0.011397370375278923,0.026935204087446134,0.03958002022571034,0.03137093774146504
17,0.010665156769876678,0.02309632518639167,0.03672981295320723,0.02893654000427988
18,0.0098451882497304,0.023501424118876457,0.035629769331879085,0.02773961259259118
19,0.009589062910526991,0.023613431956619024,0.034040804538461894,0.026605084248714977
20,0.008049285385964645,0.024309561510259908,0.03283694543772274,0.025496215207709207
