epoch,train_mse,val_mse,sparsity_l1,tv_loss
1,0.0356302335858345,0.024544968890647095,0.2559699505567551,0.1945698661936654
2,0.024330902161697546,0.026604675377408665,0.19255235261387296,0.1750927150249481
3,0.022063621257742246,0.022714864928275347,0.20280184679561192,0.187820103764534
4,0.02016488595141305,0.025123378494754434,0.18872881531715394,0.1910949816306432
5,0.018065591860148642,0.023570696202417214,0.1818380617433124,0.18725421130657197
6,0.017964529649664957,0.024009129886205,0.15656807091501024,0.16236493355698056
7,0.01750660240650177,0.02341327676549554,0.1394937233792411,0.14184224605560303
8,0.014949739062123829,0.022806407262881596,0.13801137407620748,0.14147907462384965
9,0.013257350814011361,0.02349592698737979,0.134349348809984,0.14001642167568207
10,0.01235230334310068,0.023722354555502534,0.12549339350726868,0.13131768686903847
11,0.011556246131658555,0.02414196035048614,0.12514482455121145,0.13150098654958936
12,0.01092727416091495,0.024719077084834378,0.1186532638139195,0.12566372685962254
13,0.0102832379233506,0.023016014175179105,0.1199534629782041,0.12881593422757254
14,0.008807407040148974,0.023936272715218365,0.11767328712675307,0.126249298453331
15,0.008436410542991426,0.023750515809903543,0.11705093797710207,0.1262889689869351
16,0.007839540583598944,0.023344807792454958,0.11519597487317192,0.12364168183671104
17,0.0069817680658565626,0.02337503988140573,0.11722413649161657,0.12605184117952983
18,0.007251405302021239,0.023897194225961964,0.11567840460273955,0.12571058306429123
19,0.007266153648702635,0.023406560920799773,0.11350722097688251,0.12343987011247211
20,0.006896803760901094,0.02303104397530357,0.1149241245455212,0.1235062567724122
