epoch,train_mse,val_mse,sparsity_l1,tv_loss
1,0.03341955482545826,0.027060819324105978,0.0,0.0
2,0.025168195015026464,0.028237399489929278,0.0,0.0
3,0.020718500369952784,0.02544512312548856,0.0,0.0
4,0.020039111375808716,0.02830060264871766,0.0,0.0
5,0.019500890508708027,0.024582764677082498,0.0,0.0
6,0.016950981991572512,0.027186498744413257,0.0,0.0
7,0.017030109465122224,0.022244547493755817,0.0,0.0
8,0.016945372470137145,0.02525196139079829,0.0,0.0
9,0.014616480324831274,0.02697575402756532,0.0,0.0
10,0.014569399961166912,0.02805358295639356,0.0,0.0
11,0.014762120714618101,0.022186577863370378,0.0,0.0
12,0.014392619486898184,0.02261142626715203,0.0,0.0
13,0.011377184144738648,0.02417949486213426,0.0,0.0
14,0.009611916811101967,0.021875140955671668,0.0,0.0
15,0.01013377331611183,0.025154397279645007,0.0,0.0
16,0.011045209939281146,0.022667219551901024,0.0,0.0
17,0.011110516958352593,0.023435479573284585,0.0,0.0
18,0.009300531074404716,0.02331297704949975,0.0,0.0
19,0.007656742880741755,0.023924413369968534,0.0,0.0
20,0.00637585210820867,0.02286003149735431,0.0,0.0
