epoch,train_mse,val_mse,sparsity_l1,tv_loss
1,0.09883212418191963,0.05089806548009316,0.0,0.0
2,0.038800943849815264,0.052201465703547,0.0,0.0
3,0.029355810044540298,0.03279055996487538,0.0,0.0
4,0.025760664066506758,0.032595695074026786,0.0,0.0
5,0.02687670561588473,0.03324385033920407,0.0,0.0
6,0.022534650584889782,0.03073520368585984,0.0,0.0
7,0.020317557495501307,0.03464527063382169,0.0,0.0
8,0.019992988018525972,0.04550859099254012,0.0,0.0
9,0.01694220190660821,0.02812104144444068,0.0,0.0
10,0.016914874398046068,0.02666244430777927,0.0,0.0
11,0.01695216726511717,0.03479611221700907,0.0,0.0
12,0.015369690085450808,0.022645782291268308,0.0,0.0
13,0.01632074016249842,0.027440562611445785,0.0,0.0
14,0.014166362449112865,0.032043493585661054,0.0,0.0
15,0.013111412080211772,0.023387905171451468,0.0,0.0
16,0.01158950071160992,0.025391642469912767,0.0,0.0
17,0.009861243309246169,0.02386068451839189,0.0,0.0
18,0.00903783135323061,0.02485212660394609,0.0,0.0
19,0.00827817097823653,0.02341255499050021,0.0,0.0
20,0.00774757530954149,0.021949053625576198,0.0,0.0
